# x_m, y_m, w_tr_right_m, w_tr_left_m
-1.3770,8.9505,0.9,0.9
-0.5508,8.8434,0.9,0.9
0.2754,8.5068,1.0,1.0
1.1016,8.0019,1.0,1.0
1.9278,7.4205,1.0,1.0
2.7540,6.7932,1.0,1.0
3.5802,6.1659,1.0,1.0
4.4064,5.5386,1.0,1.0
5.2326,4.8960,1.0,1.0
6.0588,4.1463,1.0,1.0
6.7167,3.3201,1.0,1.0
7.0380,2.4939,0.9,0.9
7.1145,1.6677,0.9,0.9
6.9768,0.8415,1.0,1.0
6.4872,0.0153,1.0,1.0
5.6916,-0.7650,1.0,1.0
4.8654,-1.4382,1.0,1.0
4.0392,-2.1267,1.0,1.0
3.2130,-2.8305,1.0,1.0
2.3868,-3.5343,1.0,1.0
1.5606,-4.1769,1.0,1.0
0.7344,-4.7583,1.0,1.0
-0.0918,-5.2938,1.0,1.0
-0.9180,-5.7375,1.0,1.0
-1.7442,-6.1353,1.0,1.0
-2.5704,-6.4719,1.0,1.0
-3.3966,-6.6861,0.9,0.9
-4.2228,-6.7779,0.9,0.9
-5.0490,-6.6096,0.9,0.9
-5.5998,-5.9364,0.9,0.9
-5.6763,-5.1102,0.9,0.9
-5.3703,-4.2840,1.0,1.0
-4.5441,-3.6567,1.0,1.0
-3.7179,-3.2436,1.0,1.0
-2.8917,-2.8917,1.0,1.0
-2.0655,-2.5551,1.0,1.0
-1.2393,-2.1879,1.0,1.0
-0.4131,-1.7442,1.0,1.0
0.4131,-1.0863,1.0,1.0
0.7803,-0.2601,0.9,0.9
0.7191,0.5661,0.9,0.9
0.1377,1.3617,1.0,1.0
-0.6885,1.5912,0.9,0.9
-1.5147,1.6830,1.0,1.0
-2.3409,1.6983,0.9,0.9
-3.1671,1.8207,0.9,0.9
-3.9474,2.2644,1.0,1.0
-4.1310,3.0906,0.9,0.9
-4.0698,3.9168,0.9,0.9
-3.9015,4.7430,1.0,1.0
-3.6414,5.5692,1.0,1.0
-3.3813,6.3954,1.0,1.0
-3.1212,7.2216,1.0,1.0
-2.7693,8.0478,1.0,1.0
-2.1420,8.7822,1.0,1.0

