# x_m, y_m, w_tr_right_m, w_tr_left_m
1.2351,8.9499,0.9,0.9
1.1351,8.9498,0.9,0.9
1.0352,8.9445,0.9,0.9
0.9357,8.9344,0.9,0.9
0.8368,8.9197,0.9,0.9
0.7386,8.9008,1.0,1.0
0.6413,8.8780,1.0,1.0
0.5448,8.8517,1.0,1.0
0.4493,8.8221,1.0,1.0
0.3546,8.7897,1.0,1.0
0.2609,8.7549,1.0,1.0
0.1679,8.7181,1.0,1.0
0.0755,8.6799,1.0,1.0
-0.0163,8.6402,1.0,1.0
-0.1073,8.5987,1.0,1.0
-0.1973,8.5553,1.0,1.0
-0.2865,8.5101,1.0,1.0
-0.3749,8.4632,1.0,1.0
-0.4624,8.4149,1.0,1.0
-0.5493,8.3654,1.0,1.0
-0.6356,8.3148,1.0,1.0
-0.7212,8.2631,1.0,1.0
-0.8063,8.2106,1.0,1.0
-0.8909,8.1573,1.0,1.0
-0.9751,8.1033,1.0,1.0
-1.0587,8.0485,1.0,1.0
-1.1419,7.9929,1.0,1.0
-1.2244,7.9365,1.0,1.0
-1.3066,7.8795,1.0,1.0
-1.3884,7.8220,1.0,1.0
-1.4699,7.7640,1.0,1.0
-1.5511,7.7056,1.0,1.0
-1.6321,7.6470,1.0,1.0
-1.7129,7.5880,1.0,1.0
-1.7936,7.5290,1.0,1.0
-1.8742,7.4698,1.0,1.0
-1.9547,7.4104,1.0,1.0
-2.0350,7.3508,1.0,1.0
-2.1153,7.2912,1.0,1.0
-2.1954,7.2314,1.0,1.0
-2.2755,7.1715,1.0,1.0
-2.3555,7.1115,1.0,1.0
-2.4354,7.0514,1.0,1.0
-2.5153,6.9912,1.0,1.0
-2.5950,6.9308,1.0,1.0
-2.6747,6.8704,1.0,1.0
-2.7544,6.8100,1.0,1.0
-2.8341,6.7496,1.0,1.0
-2.9137,6.6891,1.0,1.0
-2.9933,6.6285,1.0,1.0
-3.0729,6.5680,1.0,1.0
-3.1524,6.5073,1.0,1.0
-3.2320,6.4468,1.0,1.0
-3.3116,6.3862,1.0,1.0
-3.3912,6.3257,1.0,1.0
-3.4709,6.2653,1.0,1.0
-3.5505,6.2047,1.0,1.0
-3.6301,6.1443,1.0,1.0
-3.7098,6.0838,1.0,1.0
-3.7894,6.0232,1.0,1.0
-3.8690,5.9627,1.0,1.0
-3.9486,5.9022,1.0,1.0
-4.0283,5.8418,1.0,1.0
-4.1079,5.7813,1.0,1.0
-4.1876,5.7209,1.0,1.0
-4.2672,5.6604,1.0,1.0
-4.3468,5.5998,1.0,1.0
-4.4263,5.5391,1.0,1.0
-4.5057,5.4783,1.0,1.0
-4.5849,5.4173,1.0,1.0
-4.6641,5.3562,1.0,1.0
-4.7431,5.2948,1.0,1.0
-4.8218,5.2332,1.0,1.0
-4.9003,5.1713,1.0,1.0
-4.9786,5.1090,1.0,1.0
-5.0565,5.0463,1.0,1.0
-5.1342,4.9833,1.0,1.0
-5.2115,4.9199,1.0,1.0
-5.2884,4.8560,1.0,1.0
-5.3650,4.7917,1.0,1.0
-5.4411,4.7268,1.0,1.0
-5.5167,4.6614,1.0,1.0
-5.5917,4.5953,1.0,1.0
-5.6661,4.5284,1.0,1.0
-5.7398,4.4608,1.0,1.0
-5.8128,4.3925,1.0,1.0
-5.8849,4.3231,1.0,1.0
-5.9561,4.2529,1.0,1.0
-6.0263,4.1817,1.0,1.0
-6.0953,4.1093,1.0,1.0
-6.1632,4.0359,1.0,1.0
-6.2298,3.9613,1.0,1.0
-6.2951,3.8856,1.0,1.0
-6.3593,3.8089,1.0,1.0
-6.4219,3.7309,1.0,1.0
-6.4829,3.6517,1.0,1.0
-6.5422,3.5712,1.0,1.0
-6.5997,3.4894,1.0,1.0
-6.6552,3.4061,1.0,1.0
-6.7085,3.3215,1.0,1.0
-6.7594,3.2354,1.0,1.0
-6.8078,3.1479,1.0,1.0
-6.8536,3.0591,1.0,1.0
-6.8967,2.9688,1.0,1.0
-6.9371,2.8773,1.0,1.0
-6.9745,2.7846,0.9,0.9
-7.0089,2.6907,1.0,1.0
-7.0402,2.5957,1.0,1.0
-7.0681,2.4997,0.9,0.9
-7.0925,2.4027,0.9,0.9
-7.1134,2.3049,0.9,0.9
-7.1308,2.2065,0.9,0.9
-7.1444,2.1074,0.9,0.9
-7.1544,2.0079,0.9,0.9
-7.1607,1.9081,0.9,0.9
-7.1631,1.8081,0.9,0.9
-7.1613,1.7081,0.9,0.9
-7.1554,1.6083,0.9,0.9
-7.1453,1.5088,0.9,0.9
-7.1311,1.4099,0.9,0.9
-7.1128,1.3116,0.9,0.9
-7.0903,1.2141,0.9,0.9
-7.0641,1.1176,0.9,0.9
-7.0340,1.0222,0.9,0.9
-7.0004,0.9281,0.9,0.9
-6.9635,0.8351,0.9,0.9
-6.9233,0.7436,0.9,0.9
-6.8800,0.6534,0.9,0.9
-6.8339,0.5647,0.9,0.9
-6.7849,0.4775,0.9,0.9
-6.7333,0.3919,1.0,1.0
-6.6791,0.3078,0.9,0.9
-6.6226,0.2253,1.0,1.0
-6.5639,0.1443,1.0,1.0
-6.5033,0.0648,1.0,1.0
-6.4407,-0.0132,1.0,1.0
-6.3766,-0.0900,1.0,1.0
-6.3109,-0.1654,1.0,1.0
-6.2439,-0.2395,1.0,1.0
-6.1756,-0.3127,1.0,1.0
-6.1063,-0.3847,1.0,1.0
-6.0359,-0.4557,1.0,1.0
-5.9645,-0.5257,1.0,1.0
-5.8921,-0.5948,1.0,1.0
-5.8189,-0.6629,1.0,1.0
-5.7449,-0.7302,1.0,1.0
-5.6703,-0.7968,1.0,1.0
-5.5951,-0.8627,1.0,1.0
-5.5194,-0.9280,1.0,1.0
-5.4431,-0.9927,1.0,1.0
-5.3666,-1.0570,1.0,1.0
-5.2898,-1.1211,1.0,1.0
-5.2127,-1.1848,1.0,1.0
-5.1354,-1.2483,1.0,1.0
-5.0580,-1.3116,1.0,1.0
-4.9805,-1.3748,1.0,1.0
-4.9029,-1.4379,1.0,1.0
-4.8252,-1.5009,1.0,1.0
-4.7476,-1.5639,1.0,1.0
-4.6699,-1.6269,1.0,1.0
-4.5923,-1.6899,1.0,1.0
-4.5148,-1.7531,1.0,1.0
-4.4374,-1.8164,1.0,1.0
-4.3601,-1.8799,1.0,1.0
-4.2829,-1.9434,1.0,1.0
-4.2057,-2.0071,1.0,1.0
-4.1288,-2.0709,1.0,1.0
-4.0519,-2.1349,1.0,1.0
-3.9751,-2.1990,1.0,1.0
-3.8985,-2.2632,1.0,1.0
-3.8220,-2.3276,1.0,1.0
-3.7455,-2.3921,1.0,1.0
-3.6691,-2.4566,1.0,1.0
-3.5928,-2.5212,1.0,1.0
-3.5165,-2.5859,1.0,1.0
-3.4402,-2.6505,1.0,1.0
-3.3639,-2.7152,1.0,1.0
-3.2877,-2.7799,1.0,1.0
-3.2114,-2.8446,1.0,1.0
-3.1351,-2.9092,1.0,1.0
-3.0587,-2.9738,1.0,1.0
-2.9823,-3.0383,1.0,1.0
-2.9058,-3.1027,1.0,1.0
-2.8293,-3.1670,1.0,1.0
-2.7526,-3.2313,1.0,1.0
-2.6759,-3.2954,1.0,1.0
-2.5990,-3.3594,1.0,1.0
-2.5220,-3.4232,1.0,1.0
-2.4449,-3.4869,1.0,1.0
-2.3676,-3.5503,1.0,1.0
-2.2900,-3.6134,1.0,1.0
-2.2123,-3.6764,1.0,1.0
-2.1344,-3.7391,1.0,1.0
-2.0563,-3.8016,1.0,1.0
-1.9780,-3.8637,1.0,1.0
-1.8994,-3.9256,1.0,1.0
-1.8206,-3.9871,1.0,1.0
-1.7416,-4.0484,1.0,1.0
-1.6622,-4.1092,1.0,1.0
-1.5826,-4.1698,1.0,1.0
-1.5028,-4.2300,1.0,1.0
-1.4226,-4.2898,1.0,1.0
-1.3421,-4.3492,1.0,1.0
-1.2614,-4.4081,1.0,1.0
-1.1803,-4.4667,1.0,1.0
-1.0989,-4.5247,1.0,1.0
-1.0171,-4.5824,1.0,1.0
-0.9351,-4.6396,1.0,1.0
-0.8528,-4.6964,1.0,1.0
-0.7701,-4.7526,1.0,1.0
-0.6870,-4.8083,1.0,1.0
-0.6037,-4.8635,1.0,1.0
-0.5200,-4.9183,1.0,1.0
-0.4360,-4.9726,1.0,1.0
-0.3516,-5.0262,1.0,1.0
-0.2669,-5.0794,1.0,1.0
-0.1819,-5.1320,1.0,1.0
-0.0965,-5.1841,1.0,1.0
-0.0109,-5.2357,1.0,1.0
0.0751,-5.2868,1.0,1.0
0.1614,-5.3373,1.0,1.0
0.2480,-5.3873,1.0,1.0
0.3349,-5.4368,1.0,1.0
0.4221,-5.4858,1.0,1.0
0.5096,-5.5342,1.0,1.0
0.5974,-5.5821,1.0,1.0
0.6855,-5.6293,1.0,1.0
0.7739,-5.6761,1.0,1.0
0.8625,-5.7225,1.0,1.0
0.9515,-5.7682,1.0,1.0
1.0406,-5.8135,1.0,1.0
1.1300,-5.8583,1.0,1.0
1.2197,-5.9026,1.0,1.0
1.3096,-5.9465,1.0,1.0
1.3997,-5.9898,1.0,1.0
1.4901,-6.0325,1.0,1.0
1.5808,-6.0746,1.0,1.0
1.6719,-6.1158,1.0,1.0
1.7634,-6.1563,1.0,1.0
1.8552,-6.1960,1.0,1.0
1.9474,-6.2346,1.0,1.0
2.0400,-6.2723,1.0,1.0
2.1329,-6.3095,1.0,1.0
2.2260,-6.3460,1.0,1.0
2.3194,-6.3816,1.0,1.0
2.4132,-6.4163,1.0,1.0
2.5073,-6.4502,1.0,1.0
2.6018,-6.4830,1.0,1.0
2.6967,-6.5144,1.0,1.0
2.7921,-6.5446,1.0,1.0
2.8879,-6.5731,1.0,1.0
2.9842,-6.6001,1.0,1.0
3.0808,-6.6258,1.0,1.0
3.1778,-6.6504,1.0,1.0
3.2749,-6.6742,1.0,1.0
3.3724,-6.6966,0.9,0.9
3.4702,-6.7172,1.0,1.0
3.5685,-6.7354,0.9,0.9
3.6673,-6.7511,0.9,0.9
3.7665,-6.7641,0.9,0.9
3.8660,-6.7738,0.9,0.9
3.9658,-6.7802,0.9,0.9
4.0657,-6.7828,0.9,0.9
4.1657,-6.7814,0.9,0.9
4.2656,-6.7757,0.9,0.9
4.3650,-6.7653,0.9,0.9
4.4638,-6.7499,0.9,0.9
4.5617,-6.7294,0.9,0.9
4.6583,-6.7036,0.9,0.9
4.7532,-6.6723,0.9,0.9
4.8461,-6.6352,0.9,0.9
4.9364,-6.5922,0.8,0.8
5.0234,-6.5431,0.9,0.9
5.1069,-6.4879,0.9,0.9
5.1861,-6.4270,0.9,0.9
5.2610,-6.3608,0.9,0.9
5.3315,-6.2898,0.9,0.9
5.3969,-6.2142,0.9,0.9
5.4564,-6.1338,0.9,0.9
5.5094,-6.0490,0.9,0.9
5.5555,-5.9604,0.9,0.9
5.5946,-5.8684,0.9,0.9
5.6265,-5.7736,0.9,0.9
5.6511,-5.6767,0.9,0.9
5.6683,-5.5782,0.9,0.9
5.6781,-5.4787,0.9,0.9
5.6807,-5.3788,0.9,0.9
5.6762,-5.2789,0.9,0.9
5.6649,-5.1795,0.9,0.9
5.6471,-5.0811,0.9,0.9
5.6231,-4.9841,0.9,0.9
5.5932,-4.8886,0.9,0.9
5.5579,-4.7951,0.9,0.9
5.5176,-4.7036,0.9,0.9
5.4724,-4.6144,0.9,0.9
5.4227,-4.5276,0.9,0.9
5.3687,-4.4435,0.9,0.9
5.3108,-4.3620,0.9,0.9
5.2492,-4.2831,0.9,0.9
5.1848,-4.2067,0.9,0.9
5.1175,-4.1327,0.9,0.9
5.0475,-4.0613,0.9,0.9
4.9749,-3.9925,1.0,1.0
4.9000,-3.9263,1.0,1.0
4.8228,-3.8627,1.0,1.0
4.7437,-3.8015,1.0,1.0
4.6629,-3.7426,1.0,1.0
4.5805,-3.6860,1.0,1.0
4.4967,-3.6314,1.0,1.0
4.4116,-3.5789,1.0,1.0
4.3254,-3.5282,1.0,1.0
4.2382,-3.4792,1.0,1.0
4.1501,-3.4319,1.0,1.0
4.0611,-3.3864,1.0,1.0
3.9713,-3.3423,1.0,1.0
3.8807,-3.2999,1.0,1.0
3.7896,-3.2586,1.0,1.0
3.6980,-3.2186,1.0,1.0
3.6059,-3.1797,1.0,1.0
3.5135,-3.1415,1.0,1.0
3.4208,-3.1039,1.0,1.0
3.3280,-3.0665,1.0,1.0
3.2352,-3.0294,1.0,1.0
3.1423,-2.9924,1.0,1.0
3.0493,-2.9556,1.0,1.0
2.9563,-2.9187,1.0,1.0
2.8634,-2.8816,1.0,1.0
2.7705,-2.8447,1.0,1.0
2.6775,-2.8080,1.0,1.0
2.5844,-2.7713,1.0,1.0
2.4914,-2.7347,1.0,1.0
2.3983,-2.6981,1.0,1.0
2.3053,-2.6614,1.0,1.0
2.2124,-2.6245,1.0,1.0
2.1195,-2.5874,1.0,1.0
2.0267,-2.5502,1.0,1.0
1.9340,-2.5127,1.0,1.0
1.8414,-2.4749,1.0,1.0
1.7489,-2.4369,1.0,1.0
1.6567,-2.3981,1.0,1.0
1.5648,-2.3587,1.0,1.0
1.4731,-2.3188,1.0,1.0
1.3816,-2.2784,1.0,1.0
1.2904,-2.2374,1.0,1.0
1.1996,-2.1954,1.0,1.0
1.1093,-2.1525,1.0,1.0
