# x_m, y_m, w_tr_right_m, w_tr_left_m
46.6452,91.3199,6.6,6.6
46.5452,91.3171,6.6,6.6
46.4453,91.3136,6.6,6.6
46.3453,91.3110,6.6,6.6
46.2454,91.3078,6.6,6.6
46.1455,91.3040,6.6,6.6
46.0456,91.3008,6.6,6.6
45.9457,91.2963,6.6,6.6
45.8458,91.2915,6.6,6.6
45.7459,91.2872,6.6,6.6
45.6460,91.2833,6.6,6.6
45.5462,91.2784,6.6,6.6
45.4463,91.2729,6.6,6.6
45.3465,91.2681,6.6,6.6
45.2467,91.2619,6.6,6.6
45.1469,91.2564,6.6,6.6
45.0471,91.2501,6.6,6.6
44.9473,91.2437,6.6,6.6
44.8475,91.2375,6.6,6.6
44.7478,91.2302,6.6,6.6
44.6480,91.2238,6.6,6.6
44.5483,91.2163,6.6,6.6
44.4487,91.2082,6.6,6.6
44.3490,91.2008,6.5,6.5
44.2493,91.1931,6.5,6.5
44.1497,91.1847,6.5,6.5
44.0500,91.1770,6.5,6.5
43.9504,91.1681,6.5,6.5
43.8508,91.1588,6.5,6.5
43.7513,91.1496,6.5,6.5
43.6518,91.1394,6.5,6.5
43.5524,91.1287,6.6,6.6
43.4529,91.1186,6.6,6.6
43.3536,91.1072,6.6,6.6
43.2543,91.0956,6.6,6.6
43.1550,91.0837,6.5,6.5
43.0558,91.0717,6.5,6.5
42.9566,91.0589,6.6,6.6
42.8576,91.0451,6.6,6.6
42.7585,91.0320,6.6,6.6
42.6594,91.0186,6.6,6.6
42.5604,91.0048,6.6,6.6
42.4614,90.9908,6.6,6.6
42.3625,90.9760,6.7,6.7
42.2638,90.9600,6.6,6.6
42.1651,90.9438,6.6,6.6
42.0664,90.9280,6.6,6.6
41.9677,90.9120,6.6,6.6
41.8691,90.8955,6.7,6.7
41.7706,90.8786,6.7,6.7
41.6721,90.8613,6.7,6.7
41.5737,90.8434,6.6,6.6
41.4754,90.8250,6.6,6.6
41.3771,90.8069,6.7,6.7
41.2788,90.7886,6.7,6.7
41.1806,90.7697,6.7,6.7
41.0826,90.7504,6.8,6.8
40.9846,90.7304,6.6,6.6
40.8867,90.7099,6.7,6.7
40.7890,90.6889,6.7,6.7
40.6914,90.6671,6.8,6.8
40.5939,90.6452,6.8,6.8
40.4963,90.6234,6.8,6.8
40.3989,90.6009,6.7,6.7
40.3016,90.5779,6.8,6.8
40.2044,90.5542,6.8,6.8
40.1074,90.5299,6.8,6.8
40.0106,90.5051,6.9,6.9
39.9138,90.4799,6.8,6.8
39.8173,90.4540,6.8,6.8
39.7209,90.4273,6.8,6.8
39.6246,90.4006,6.9,6.9
39.5282,90.3738,6.8,6.8
39.4321,90.3462,6.9,6.9
39.3362,90.3180,6.9,6.9
39.2404,90.2894,6.9,6.9
39.1448,90.2603,6.9,6.9
39.0493,90.2305,6.9,6.9
38.9541,90.2000,6.9,6.9
38.8591,90.1689,6.9,6.9
38.7642,90.1374,6.9,6.9
38.6696,90.1052,6.9,6.9
38.5750,90.0726,7.0,7.0
38.4805,90.0401,7.0,7.0
38.3862,90.0069,6.9,6.9
38.2920,89.9733,7.0,7.0
38.1980,89.9392,7.0,7.0
38.1043,89.9044,7.0,7.0
38.0108,89.8690,7.0,7.0
37.9174,89.8332,7.0,7.0
37.8243,89.7969,7.1,7.1
37.7314,89.7600,7.0,7.0
37.6387,89.7224,7.1,7.1
37.5465,89.6837,7.1,7.1
37.4546,89.6444,7.0,7.0
37.3629,89.6044,7.1,7.1
37.2715,89.5639,7.1,7.1
37.1803,89.5230,7.1,7.1
37.0894,89.4814,7.1,7.1
36.9987,89.4393,7.1,7.1
36.9082,89.3969,7.1,7.1
36.8180,89.3537,7.1,7.1
36.7280,89.3102,7.1,7.1
36.6382,89.2662,7.1,7.1
36.5488,89.2215,7.1,7.1
36.4596,89.1762,7.1,7.1
36.3709,89.1301,7.1,7.1
36.2826,89.0831,7.1,7.1
36.1947,89.0356,7.1,7.1
36.1071,88.9874,7.1,7.1
36.0197,88.9388,7.1,7.1
35.9325,88.8898,7.1,7.1
35.8458,88.8401,7.1,7.1
35.7592,88.7901,7.1,7.1
35.6729,88.7396,7.1,7.1
35.5870,88.6885,7.1,7.1
35.5012,88.6372,7.1,7.1
35.4159,88.5851,7.1,7.1
35.3310,88.5322,7.1,7.1
35.2465,88.4788,7.1,7.1
35.1624,88.4247,7.1,7.1
35.0786,88.3701,7.1,7.1
34.9950,88.3153,7.1,7.1
34.9115,88.2603,7.1,7.1
34.8285,88.2046,7.1,7.1
34.7458,88.1483,7.1,7.1
34.6633,88.0919,7.2,7.2
34.5812,88.0349,7.1,7.1
34.4995,87.9772,7.1,7.1
34.4183,87.9188,7.2,7.2
34.3376,87.8598,7.2,7.2
34.2572,87.8005,7.2,7.2
34.1769,87.7408,7.2,7.2
34.0972,87.6805,7.1,7.1
34.0177,87.6198,7.1,7.1
33.9384,87.5589,7.2,7.2
33.8593,87.4978,7.2,7.2
33.7806,87.4361,7.2,7.2
33.7024,87.3738,7.2,7.2
33.6247,87.3109,7.1,7.1
33.5475,87.2474,7.2,7.2
33.4706,87.1835,7.1,7.1
33.3939,87.1194,7.2,7.2
33.3176,87.0547,7.1,7.1
33.2418,86.9896,7.2,7.2
33.1660,86.9243,7.2,7.2
33.0908,86.8584,7.2,7.2
33.0159,86.7922,7.2,7.2
32.9412,86.7258,7.2,7.2
32.8670,86.6588,7.2,7.2
32.7933,86.5912,7.2,7.2
32.7200,86.5232,7.2,7.2
32.6469,86.4549,7.2,7.2
32.5740,86.3865,7.2,7.2
32.5014,86.3178,7.2,7.2
32.4293,86.2485,7.2,7.2
32.3575,86.1790,7.2,7.2
32.2859,86.1092,7.2,7.2
32.2148,86.0389,7.2,7.2
32.1442,85.9681,7.2,7.2
32.0740,85.8969,7.2,7.2
32.0041,85.8254,7.2,7.2
31.9343,85.7538,7.2,7.2
31.8648,85.6820,7.2,7.2
31.7958,85.6096,7.2,7.2
31.7272,85.5369,7.2,7.2
31.6587,85.4641,7.2,7.2
31.5906,85.3908,7.2,7.2
31.5232,85.3170,7.1,7.1
31.4562,85.2428,7.2,7.2
31.3893,85.1685,7.2,7.2
31.3229,85.0938,7.2,7.2
31.2569,85.0186,7.2,7.2
31.1911,84.9434,7.1,7.1
31.1256,84.8678,7.1,7.1
31.0606,84.7918,7.1,7.1
30.9962,84.7154,7.1,7.1
30.9321,84.6387,7.1,7.1
30.8681,84.5619,7.2,7.2
30.8043,84.4849,7.1,7.1
30.7406,84.4078,7.1,7.1
30.6772,84.3305,7.1,7.1
