# x_m, y_m, w_tr_right_m, w_tr_left_m
2.7896,5.8903,0.7,0.7
1.8473,5.6120,0.7,0.7
1.4729,4.7100,0.7,0.7
1.5603,3.7180,0.7,0.7
1.9408,2.7935,0.7,0.7
2.3717,1.8904,0.7,0.7
2.4842,0.9063,0.7,0.7
2.0485,0.0403,0.7,0.7
1.1149,-0.3113,0.7,0.7
0.1579,-0.6040,0.7,0.7
-0.5138,-1.3016,0.7,0.7
-0.2771,-2.2155,0.6,0.6
0.6966,-2.4102,0.7,0.7
1.6899,-2.2903,0.7,0.7
2.6807,-2.1438,0.7,0.7
3.6559,-1.9191,0.7,0.7
4.5913,-1.5700,0.7,0.7
5.1657,-0.7787,0.7,0.7
5.3097,0.2111,0.6,0.6
5.3251,1.2107,0.7,0.7
5.2428,2.2088,0.7,0.7
5.1089,3.2013,0.7,0.7
4.9397,4.1881,0.7,0.7
4.5360,5.0983,0.7,0.7
3.7719,5.7215,0.7,0.7

